Top queries,Clicks,Impressions,CTR,Position
"what does lolo mean in hawaiian",1450,28400,5.11%,2.1
"choke meaning in hawaiian pidgin",1120,19800,5.66%,1.8
"what does da kine mean",3200,45000,7.11%,1.4
"what does kapakahi mean in hawaii",890,14200,6.27%,2.3
"buss up meaning",780,12100,6.45%,2.8
"pau hana meaning",2100,31000,6.77%,1.9
"what does pau mean in hawaii",1890,26500,7.13%,1.6
"stink eye meaning hawaii",950,15400,6.17%,2.4
"what does brah mean",1650,29000,5.69%,2.2
"what does rubbah slippahs mean",620,9800,6.33%,2.9
"shaka meaning and origin",1420,24100,5.89%,2.1
"hapa meaning in hawaiian",1850,31200,5.93%,1.7
"what does menehune mean",1320,21900,6.03%,2.5
"bumbai meaning in pidgin",840,13500,6.22%,2.1
"what does humbug mean in hawaii",790,12800,6.17%,2.4
"what does poho mean",910,14700,6.19%,2.0
"what does kane mean in hawaiian",1140,18900,6.03%,2.2
"what does wahine mean in hawaiian",1520,25600,5.94%,1.9
"what does akamai mean",1380,22400,6.16%,2.1
"what does holoholo mean",1290,20800,6.20%,2.3
"meaning of ono in hawaiian",2450,38900,6.30%,1.5
"broke da mouth meaning",1180,18200,6.48%,1.8
"kanak attack meaning",890,13900,6.40%,2.1
"chicken skin meaning hawaii",970,15600,6.22%,2.3
"what does haole mean",3400,52000,6.54%,1.3
"what does kamaaina mean",2100,33500,6.27%,1.6
"what does niele mean",810,12900,6.28%,2.4
"what does kokua mean",1920,30100,6.38%,1.7
"what does ohana mean",4500,78000,5.77%,1.2
"what does mahalo mean",5100,89000,5.73%,1.1
"what does aloha mean",6200,112000,5.54%,1.1
"what does wikiwiki mean",1150,18400,6.25%,2.2
"cheeehoo meaning",780,12500,6.24%,2.7
"garans meaning",690,11000,6.27%,2.8
"what does grindz mean",1420,22900,6.20%,2.0
"howzit meaning in pidgin",1890,29800,6.34%,1.6
"rajah dat meaning",720,11600,6.21%,2.6
"what does mauka and makai mean",1680,27400,6.13%,1.8
"what does blend mean in pidgin",310,4800,6.46%,3.2
"what does habut mean in hawaiian pidgin",540,8900,6.07%,2.6
"what does bus laugh mean in pidgin",420,6800,6.18%,3.0
"what does cockroach mean in pidgin",610,9500,6.42%,2.5
"what does cook goose mean in hawaii",380,5900,6.44%,3.1
"what does make die dead mean",690,11200,6.16%,2.4
"what does scrap mean in hawaii pidgin",510,8100,6.30%,2.8
"what does ting mean in hawaii",480,7400,6.49%,3.0
"what does yobo mean in hawaii",390,6200,6.29%,3.2
"what does hammah mean in pidgin",760,12300,6.18%,2.3
"what does beef curry no worry mean",490,7900,6.20%,2.9
"what does kapu mean in hawaiian",1420,23000,6.17%,2.0
"what does luau mean",2800,44000,6.36%,1.5
"what does mauka mean",1350,21500,6.28%,2.1
"what does makai mean",1380,22100,6.24%,2.1
"what does pakalolo mean",1890,29500,6.41%,1.9
"what does punahele mean in hawaiian",680,10800,6.30%,2.7
"what does lanai mean in hawaiian",2200,35000,6.29%,1.6
"english to hawaiian pidgin translator",4500,68000,6.62%,1.2
"hawaiian pidgin translator",3800,58000,6.55%,1.3
"how to speak hawaiian pidgin",2100,32000,6.56%,1.8
"hawaiian pidgin words for beginners",1650,25000,6.60%,2.0
"hawaiian pidgin grammar guide",920,14000,6.57%,2.3
"talk story pidgin ai",1100,16500,6.67%,1.9
"hawaiian pidgin pronunciation audio",1450,22000,6.59%,1.7
